source_experiment_id,predicted_stage_hpf,n_fovs,n_control_embryos,strict_wt_effective_um_per_px,legacy_curve_effective_um_per_px,fov_min_strict_wt_um_per_px,fov_max_strict_wt_um_per_px
CHEM13,72.0,2,16,7.626719391233888,8.389185060327616,7.291805098497546,7.961633683970231
CHEM13,96.0,3,24,7.775949629553353,8.27673629110297,7.551715944661687,7.994144928312719
CHEM15,14.0,1,8,4.250471607060186,4.3628255794460244,4.250471607060186,4.250471607060186
CHEM15,18.0,1,8,3.935797764804533,3.8265981206077746,3.935797764804533,3.935797764804533
CHEM15,24.0,1,8,4.630303402285916,4.366397044467279,4.630303402285916,4.630303402285916
CHEM15,48.0,2,16,6.844409928972422,7.211490526929865,6.363219851137213,7.3256000068076315
CHEM15,72.0,2,16,7.118321838156476,7.8299615019144975,6.765622694262868,7.471020982050083
CHEM15,96.0,2,16,7.701660058725111,8.197662323778431,7.376260902446587,8.027059215003636
CHEM16,14.0,1,8,5.701334847767866,5.852039917055829,5.701334847767866,5.701334847767866
CHEM16,24.0,3,24,4.478444965197891,4.2231938516589596,4.319965387767068,5.265887378299498
CHEM16,36.0,3,24,6.896676326865059,6.936772108377966,5.93999522228347,6.917168955450498
GENE5,48.0,2,16,8.392138198246517,8.842226831148771,8.120780070147847,8.663496326345186
GENE5,72.0,4,32,7.548110673695762,8.302717597064138,7.173887303748361,8.032586292807736
GENE5,96.0,2,16,7.404516028082851,7.8813816250513895,6.945340990530985,7.863691065634716
GENE6,12.0,1,8,5.686785632477263,5.658421144198068,5.686785632477263,5.686785632477263
GENE6,15.0,1,8,4.01041081893431,4.024051714333734,4.01041081893431,4.01041081893431
GENE6,18.0,1,8,4.18410625775595,4.068017235419948,4.18410625775595,4.18410625775595
GENE6,24.0,2,16,5.085119778636681,4.795290943837434,4.963162402628634,5.207077154644727
GENE6,48.0,3,24,7.550444739260253,7.955391520428341,7.434164725216824,7.681901378141163
GENE6,72.0,2,16,7.39046922708039,8.129316269311843,6.886002038531906,7.894936415628873
GENE6,96.0,2,16,7.143018890144679,7.6030435499992315,6.4354790458430795,7.850558734446279
GENE7,24.0,1,8,3.1753319502321045,2.994352386465895,3.1753319502321045,3.1753319502321045
GENE7,48.0,1,8,7.564539170559723,7.970241866747946,7.564539170559723,7.564539170559723
GENE7,72.0,1,8,8.027203044154152,8.82970624717576,8.027203044154152,8.027203044154152
GENE8,14.0,1,8,3.603604092105083,3.6988592242606173,3.603604092105083,3.603604092105083
GENE8,18.0,2,16,4.427937840273325,4.30508365274186,3.8802848893940523,4.975590791152596
